fips,state,densityMi,pop2023,Population 2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,name,id,Happiness Score,Emotional and Physical Wellbeing Rank,Work Environment Rank,Community and Environment Rank
29,Missouri,90.26083,6204710,6188111,6154913,6138318,5988927,0.00268,16599,0.03603,Jefferson City,2937000,42.76,45,40,21
28,Mississippi,63.07084,2959473,2960075,2961279,2961879,2967297,-0.0002,-602,-0.00264,Jackson,2836000,41.63,42,34,26
21,Kentucky,115.37702,4555777,4539130,4505836,4489190,4339367,0.00367,16647,0.04987,Frankfort,2128900,39.42,48,24,19
1,Alabama,100.65438,5097641,5073187,5024279,4999822,4779736,0.00482,24454,0.06651,Montgomery,151000,39.35,46,35,43
40,Oklahoma,58.63041,4021753,4000953,3959353,3938551,3751351,0.0052,20800,0.07208,Oklahoma City,4055000,38.89,47,48,33
2,Alaska,1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,Juneau,236400,38.21,33,49,50
22,Louisiana,108.67214,4695071,4682633,4657757,4645314,4533372,0.00266,12438,0.03567,Baton Rouge,2205000,37.15,44,30,41
5,Arkansas,58.42619,3040207,3030646,3011524,3001967,2915918,0.00315,9561,0.04262,Little Rock,541000,36.61,50,46,23
54,West Virginia,73.88019,1775932,1781860,1793716,1799642,1852994,-0.00333,-5928,-0.04159,Charleston,5414600,33.42,49,18,32
11,District of Columbia,11735.91803,715891,707109,689545,680761,601723,0.01242,8782,0.18974,,,45,,,
